Artist Name,Track Name,Popularity,Explicit,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Mode,Release Year,Duration,Clusters
Sly & Robbie,Stalag 17 - Live,1,Clean,0.705,0.793,F,0.7683780780858376,0.0308,0.213,0.369,0.509,91.0,Major,2022,3.5757833333333333,Cluster 1
Sly & Robbie,Dub Liquidation,1,Clean,0.851,0.425,C,0.6916617141675925,0.0958,0.000336,0.0704,0.579,146.0,Major,2018,3.89645,Cluster 2
Sly & Robbie,Gas Water Dub,2,Clean,0.749,0.319,G,0.6620500762254204,0.176,0.00224,0.128,0.664,82.0,Major,2019,4.752883333333333,Cluster 2
Sly & Robbie,Delay Ugly Dub,2,Clean,0.717,0.463,C#/Db,0.680525051032273,0.0612,0.00049,0.0691,0.556,131.0,Major,2019,5.973816666666667,Cluster 2
Sly & Robbie,Brigade Dub,2,Clean,0.74,0.457,F,0.6476318441383944,0.0802,0.0169,0.0513,0.414,129.0,Minor,2019,6.4356,Cluster 2
Sly & Robbie,Coronation Market,2,Clean,0.811,0.889,A#/Bb,0.8508048887625643,0.217,0.00472,0.113,0.353,98.0,Minor,2021,4.692533333333333,Cluster 1
Sly & Robbie,Two Thirty,1,Clean,0.758,0.756,F#/Gb,0.6965453089067466,0.0718,0.0133,0.113,0.118,103.0,Minor,2021,2.59185,Cluster 1
Sly & Robbie,Beat Box,2,Clean,0.653,0.583,F,0.7645538874964471,0.215,0.472,0.232,0.516,127.0,Minor,2021,3.6036,Cluster 4
Sly & Robbie,El Bang Bang,5,Clean,0.856,0.743,D,0.8229503113614636,0.0713,0.0236,0.16,0.315,96.0,Minor,2021,4.249416666666667,Cluster 3
Sly & Robbie,Santa Barbara,4,Clean,0.768,0.73,D,0.8972377974729335,0.0999,0.00682,0.0468,0.759,95.0,Major,2021,4.065316666666667,Cluster 3
Sly & Robbie,Haul and Pull Up,1,Clean,0.674,0.744,B,0.760006201390145,0.117,6.03e-05,0.322,0.276,180.0,Major,2021,4.247933333333333,Cluster 1
Sly & Robbie,When Love is New,2,Clean,0.819,0.743,C#/Db,0.8159737474483864,0.0347,0.0217,0.0847,0.643,116.0,Major,2021,4.46105,Cluster 3
Sly & Robbie,So Far Away,4,Clean,0.619,0.738,G#/Ab,0.9128446293377432,0.0291,0.284,0.158,0.914,86.0,Minor,2021,4.363083333333333,Cluster 3
Sly & Robbie,Sweet Dub,3,Clean,0.767,0.845,C#/Db,0.8018914239942121,0.036,0.00124,0.211,0.273,123.0,Major,2021,3.8965,Cluster 1
